id|text
1|Pelo menos 11 pessoas morreram nos incêndios que estão a afetar a cidade de Los Angeles.
2|O governo do Canadá anunciou esta sexta-feira que vai ter prontas represálias comerciais contra os EUA.
3|As operadoras de telecomunicações não vão poder cobrar encargos diretos pela portabilidade do número de telemóvel.
4|A atriz Ângela Ribeiro, de 84 anos, morreu esta sexta-feira no Hospital Pulido Valente, em Lisboa.
5|O Sporting está na iminência de garantir o segundo reforço de inverno.
6|O cabaz inclui produtos como carne, congelados, frutas e legumes, laticínios, mercearia e peixe.
7|A cerimónia contou com a presença do Presidente da República, Marcelo Rebelo de Sousa.
8|O treinador Bruno Lage frisou esta sexta-feira que o Benfica tem de manter a consistência e dinâmica ofensiva.
9|O júri justificou que o galardão é concedido à autora de "Esse Cabelo" "pelo papel decisivo que tem desempenhado na revitalização da narrativa portuguesa contemporânea.
10|A história é simples: enquanto seis astronautas e cosmonautas dão sucessivas voltas ao planeta no curso de um dia, tendo direito a observarem nessa rota dezasseis nascer-do-sol e dezasseis pôr-do-sol.
